Frequency,Monetary,Recency,CustomerID,R_Score,F_Score,M_Score,RFM_Score,Segment,KMeans_Cluster
1,178.95,323,15262,1,1,1,111,About to Sleep,1
1,156.51,106,15263,2,1,1,211,About to Sleep,5
1,393.74,63,15264,3,1,2,312,Lost,0
2,1506.12,150,15265,2,3,4,234,At Risk,5
1,119.3,337,15266,1,1,1,111,About to Sleep,1
5,1717.36,21,15267,4,4,4,444,Champions,0
1,408.8,23,15269,4,1,2,412,New Customers,0
7,2379.49,15,15270,4,5,5,455,Champions,7
15,2507.07,6,15271,5,5,5,555,Champions,7
2,721.94,56,15272,3,3,3,333,Loyal Customers,0
2,716.57,3,15274,5,3,3,533,Loyal Customers,0
1,615.14,37,15275,3,1,3,313,Promising,0
1,135.31,65,15276,3,1,1,311,Lost,0
1,255.9,46,15277,3,1,2,312,Lost,0
1,290.51,354,15279,1,1,2,112,About to Sleep,1
1,113.12,171,15280,2,1,1,211,About to Sleep,5
9,2332.15,58,15281,3,5,5,355,Loyal Customers,7
1,240.55,49,15286,3,1,1,311,Lost,0
2,486.69,21,15287,4,3,2,432,Loyal Customers,0
5,2306.52,42,15288,3,4,5,345,Loyal Customers,0
3,939.78,28,15289,4,3,3,433,Loyal Customers,0
18,7943.22,4,15290,5,5,5,555,Champions,7
15,4668.3,25,15291,4,5,5,455,Champions,7
1,180.94,200,15292,1,1,1,111,About to Sleep,5
6,3672.86,50,15296,3,5,5,355,Loyal Customers,0
3,641.94,9,15297,5,3,3,533,Loyal Customers,0
12,4799.9,1,15298,5,5,5,555,Champions,7
7,4507.01,66,15299,3,5,5,355,Loyal Customers,7
1,496.44,63,15300,3,1,3,313,Promising,0
12,5070.35,50,15301,3,5,5,355,Loyal Customers,7
1,574.02,289,15303,1,1,3,113,About to Sleep,1
8,694.4,60,15304,3,5,3,353,Loyal Customers,7
3,1174.35,63,15306,3,3,4,334,Loyal Customers,0
1,205.3,95,15307,2,1,1,211,About to Sleep,0
1,310.47,273,15308,1,1,2,112,About to Sleep,1
91,60767.9,0,15311,5,5,5,555,Champions,2
4,924.85,74,15312,2,4,3,243,At Risk,0
1,52.0,109,15313,2,1,1,211,About to Sleep,5
1,327.97,198,15314,1,1,2,112,About to Sleep,5
2,570.5,63,15315,3,3,3,333,Loyal Customers,0
1,165.0,326,15316,1,1,1,111,About to Sleep,1
1,312.62,3,15318,5,1,2,512,New Customers,0
1,204.5,283,15319,1,1,1,111,About to Sleep,1
1,267.13,43,15320,3,1,2,312,Lost,0
3,2748.31,70,15321,3,3,5,335,Loyal Customers,0
1,679.68,85,15322,2,1,3,213,About to Sleep,0
1,162.29,103,15325,2,1,1,211,About to Sleep,5
1,311.71,333,15326,1,1,2,112,About to Sleep,1
1,208.75,52,15327,3,1,1,311,Lost,0
3,1049.7,38,15329,3,3,4,334,Loyal Customers,0
2,714.96,31,15330,4,3,3,433,Loyal Customers,0
4,1661.06,365,15332,1,4,4,144,At Risk,1
1,1028.56,207,15333,1,1,4,114,About to Sleep,5
3,351.67,156,15334,2,3,2,232,At Risk,5
1,173.97,53,15335,3,1,1,311,Lost,0
2,574.07,65,15339,3,3,3,333,Loyal Customers,0
1,2020.52,80,15341,2,1,4,214,About to Sleep,0
1,406.09,129,15342,2,1,2,212,About to Sleep,5
1,364.5,86,15343,2,1,2,212,About to Sleep,0
3,563.94,0,15344,5,3,3,533,Loyal Customers,0
1,393.54,45,15345,3,1,2,312,Lost,0
1,252.42,332,15346,1,1,2,112,About to Sleep,1
1,201.6,365,15347,1,1,1,111,About to Sleep,1
1,158.04,71,15348,2,1,1,211,About to Sleep,0
2,473.81,157,15349,2,3,2,232,At Risk,5
1,115.65,372,15350,1,1,1,111,About to Sleep,1
7,1960.11,11,15351,5,5,4,554,Champions,7
2,777.02,254,15353,1,3,3,133,At Risk,1
2,277.05,28,15355,4,3,2,432,Loyal Customers,0
10,2766.5,30,15356,4,5,5,455,Champions,7
22,8347.2,4,15358,5,5,5,555,Champions,4
1,427.93,39,15360,3,1,2,312,Lost,0
1,418.92,361,15361,1,1,2,112,About to Sleep,1
1,326.0,372,15363,1,1,2,112,About to Sleep,1
2,913.19,95,15364,2,3,3,233,At Risk,0
7,2314.32,25,15365,4,5,5,455,Champions,7
2,602.51,74,15366,2,3,3,233,At Risk,0
4,1877.59,56,15367,3,4,4,344,Loyal Customers,0
1,446.94,20,15368,4,1,2,412,New Customers,0
7,2386.05,40,15370,3,5,5,355,Loyal Customers,7
1,2007.4,136,15372,2,1,4,214,About to Sleep,5
12,2415.91,7,15373,5,5,5,555,Champions,7
1,168.0,128,15374,2,1,1,211,About to Sleep,5
3,1233.36,39,15376,3,3,4,334,Loyal Customers,0
7,3703.29,168,15379,2,5,5,255,At Risk,5
5,1690.26,8,15380,5,4,4,544,Champions,0
2,596.85,213,15381,1,3,3,133,At Risk,5
6,5955.71,14,15382,4,5,5,455,Champions,7
2,642.41,169,15384,2,3,3,233,At Risk,5
1,316.88,39,15385,3,1,2,312,Lost,0
1,394.14,185,15386,1,1,2,112,About to Sleep,5
1,140.54,269,15388,1,1,1,111,About to Sleep,1
1,500.0,171,15389,2,1,3,213,About to Sleep,5
4,1535.53,4,15392,5,4,4,544,Champions,0
2,231.86,15,15393,4,3,1,431,Loyal Customers,0
4,2183.54,9,15394,5,4,5,545,Champions,0
1,107.45,325,15395,1,1,1,111,About to Sleep,1
1,288.18,112,15396,2,1,2,212,About to Sleep,5
1,94.0,289,15397,1,1,1,111,About to Sleep,1
2,1345.53,15,15398,4,3,4,434,Loyal Customers,0
3,815.77,0,15399,5,3,3,533,Loyal Customers,0
5,716.2,91,15400,2,4,3,243,At Risk,0
2,626.77,148,15402,2,3,3,233,At Risk,5
1,349.1,188,15405,1,1,2,112,About to Sleep,5
2,510.71,30,15406,4,3,3,433,Loyal Customers,0
4,1056.44,33,15407,3,4,4,344,Loyal Customers,0
1,267.18,263,15408,1,1,2,112,About to Sleep,1
8,3450.84,83,15410,2,5,5,255,At Risk,7
4,1358.88,25,15411,4,4,4,444,Champions,0
1,190.53,170,15412,2,1,1,211,About to Sleep,5
3,774.9,9,15414,5,3,3,533,Loyal Customers,0
1,572.81,312,15415,1,1,3,113,About to Sleep,1
4,3984.32,64,15416,3,4,5,345,Loyal Customers,0
1,508.8,84,15417,2,1,3,213,About to Sleep,0
1,135.86,24,15419,4,1,1,411,New Customers,0
4,950.36,58,15421,3,4,4,344,Loyal Customers,0
2,97.7,322,15422,1,3,1,131,At Risk,1
1,43.5,37,15423,3,1,1,311,Lost,0
2,383.34,253,15424,1,3,2,132,At Risk,1
5,1447.39,18,15426,4,4,4,444,Champions,0
3,1483.14,32,15427,3,3,4,334,Loyal Customers,0
1,93.78,14,15428,4,1,1,411,New Customers,0
2,397.35,26,15429,4,3,2,432,Loyal Customers,0
1,171.19,22,15432,4,1,1,411,New Customers,0
2,533.3,213,15433,1,3,3,133,At Risk,5
5,1041.48,7,15434,5,4,4,544,Champions,0
1,149.29,21,15435,4,1,1,411,New Customers,0
3,1122.53,11,15436,5,3,4,534,Loyal Customers,0
1,200.16,261,15437,1,1,1,111,About to Sleep,1
1,156.58,130,15438,2,1,1,211,About to Sleep,5
3,383.68,54,15440,3,3,2,332,Loyal Customers,0
1,594.0,248,15442,1,1,3,113,About to Sleep,1
7,3236.91,1,15443,5,5,5,555,Champions,7
2,1418.26,8,15444,5,3,4,534,Loyal Customers,0
1,113.5,263,15445,1,1,1,111,About to Sleep,1
1,155.17,330,15447,1,1,1,111,About to Sleep,1
1,494.64,312,15448,1,1,3,113,About to Sleep,1
3,974.52,25,15449,4,3,4,434,Loyal Customers,0
1,429.84,29,15450,4,1,2,412,New Customers,0
3,538.73,29,15452,4,3,3,433,Loyal Customers,0
7,1388.37,1,15453,5,5,4,554,Champions,7
1,179.1,361,15454,1,1,1,111,About to Sleep,1
3,447.22,282,15456,1,3,2,132,At Risk,1
1,237.07,261,15457,1,1,1,111,About to Sleep,1
1,161.64,24,15458,4,1,1,411,New Customers,0
1,216.76,353,15460,1,1,1,111,About to Sleep,1
3,234.6,93,15462,2,3,1,231,At Risk,0
1,126.14,28,15463,4,1,1,411,New Customers,0
1,1048.85,337,15464,1,1,4,114,About to Sleep,1
18,7354.62,19,15465,4,5,5,455,Champions,7
1,334.53,84,15466,2,1,2,212,About to Sleep,0
3,524.88,8,15467,5,3,3,533,Loyal Customers,0
2,467.51,50,15468,3,3,2,332,Loyal Customers,0
2,538.55,49,15469,3,3,3,333,Loyal Customers,0
1,469.48,1,15471,5,1,2,512,New Customers,0
1,371.56,112,15472,2,1,2,212,About to Sleep,5
7,1771.2,13,15473,4,5,4,454,Champions,7
1,454.11,76,15475,2,1,2,212,About to Sleep,0
2,1441.42,39,15478,3,3,4,334,Loyal Customers,0
1,905.5,115,15480,2,1,3,213,About to Sleep,5
12,11054.96,15,15482,4,5,5,455,Champions,7
4,233.81,160,15483,2,4,1,241,At Risk,5
4,3594.31,0,15484,5,4,5,545,Champions,0
3,2575.0,29,15485,4,3,5,435,Loyal Customers,0
1,91.32,92,15488,2,1,1,211,About to Sleep,0
3,1134.28,22,15489,4,3,4,434,Loyal Customers,0
6,3100.09,94,15491,2,5,5,255,At Risk,0
2,659.46,27,15492,4,3,3,433,Loyal Customers,0
5,2001.8,32,15493,3,4,4,344,Loyal Customers,0
2,1299.23,20,15494,4,3,4,434,Loyal Customers,0
2,1262.2,17,15497,4,3,4,434,Loyal Customers,0
27,13316.4,2,15498,5,5,5,555,Champions,4
4,1131.56,7,15500,5,4,4,544,Champions,0
12,10384.93,15,15502,4,5,5,455,Champions,7
1,147.09,362,15503,1,1,1,111,About to Sleep,1
1,52.83,80,15504,2,1,1,211,About to Sleep,0
5,3610.96,52,15505,3,4,5,345,Loyal Customers,0
3,979.26,22,15506,4,3,4,434,Loyal Customers,0
1,492.36,171,15507,2,1,3,213,About to Sleep,5
6,1000.27,188,15508,1,5,4,154,At Risk,5
1,250.0,330,15510,1,1,1,111,About to Sleep,1
5,909.23,11,15511,5,4,3,543,Loyal Customers,0
2,121.0,155,15512,2,3,1,231,At Risk,5
19,14758.22,32,15513,3,5,5,355,Loyal Customers,4
11,4139.46,11,15514,5,5,5,555,Champions,7
3,62.43,44,15516,3,3,1,331,Loyal Customers,0
1,267.03,232,15517,1,1,2,112,About to Sleep,1
8,1942.45,63,15518,3,5,4,354,Loyal Customers,7
1,343.5,1,15520,5,1,2,512,New Customers,0
8,3000.2,39,15521,3,5,5,355,Loyal Customers,7
2,398.84,32,15522,3,3,2,332,Loyal Customers,0
1,412.01,83,15523,2,1,2,212,About to Sleep,0
1,440.0,24,15524,4,1,2,412,New Customers,0
3,825.92,1,15525,5,3,3,533,Loyal Customers,0
2,148.44,32,15526,3,3,1,331,Loyal Customers,0
8,2429.78,18,15527,4,5,5,455,Champions,7
1,229.33,253,15528,1,1,1,111,About to Sleep,1
11,3995.23,22,15529,4,5,5,455,Champions,7
4,1502.35,21,15530,4,4,4,444,Champions,0
2,2007.44,7,15531,5,3,4,534,Loyal Customers,0
4,1580.93,24,15532,4,4,4,444,Champions,0
3,807.57,18,15533,4,3,3,433,Loyal Customers,0
4,536.4,172,15535,2,4,3,243,At Risk,5
1,110.92,162,15537,2,1,1,211,About to Sleep,5
1,538.46,6,15539,5,1,3,513,New Customers,0
1,213.3,10,15540,5,1,1,511,New Customers,0
1,85.13,113,15541,2,1,1,211,About to Sleep,5
1,127.86,287,15543,1,1,1,111,About to Sleep,1
9,3546.71,8,15544,5,5,5,555,Champions,7
2,292.72,53,15545,3,3,2,332,Loyal Customers,0
14,4954.84,6,15547,5,5,5,555,Champions,7
3,1693.26,76,15549,2,3,4,234,At Risk,0
4,575.63,3,15550,5,4,3,543,Loyal Customers,0
1,436.06,36,15551,3,1,2,312,Lost,0
1,90.12,216,15552,1,1,1,111,About to Sleep,5
1,437.23,59,15553,3,1,2,312,Lost,0
1,217.2,277,15554,1,1,1,111,About to Sleep,1
16,4805.17,11,15555,5,5,5,555,Champions,7
1,279.77,23,15556,4,1,2,412,New Customers,0
1,473.65,28,15557,4,1,2,412,New Customers,0
4,800.59,11,15561,5,4,3,543,Loyal Customers,0
1,134.55,351,15562,1,1,1,111,About to Sleep,1
4,1400.44,21,15563,4,4,4,444,Champions,0
2,173.16,49,15565,3,3,1,331,Loyal Customers,0
1,186.01,18,15567,4,1,1,411,New Customers,0
3,758.29,2,15568,5,3,3,533,Loyal Customers,0
5,1375.71,103,15569,2,4,4,244,At Risk,5
12,4165.52,6,15570,5,5,5,555,Champions,7
4,650.43,11,15571,5,4,3,543,Loyal Customers,0
7,2552.86,4,15572,5,5,5,555,Champions,7
2,607.45,31,15573,4,3,3,433,Loyal Customers,0
4,702.25,177,15574,2,4,3,243,At Risk,5
1,940.67,37,15576,3,1,3,313,Promising,0
3,258.88,150,15577,2,3,2,232,At Risk,5
1,127.1,161,15578,2,1,1,211,About to Sleep,5
2,348.6,68,15579,3,3,2,332,Loyal Customers,0
13,3679.97,120,15581,2,5,5,255,At Risk,7
3,682.91,24,15582,4,3,3,433,Loyal Customers,0
4,725.11,23,15584,4,4,3,443,Loyal Customers,0
1,455.3,176,15585,2,1,2,212,About to Sleep,5
4,913.68,49,15587,3,4,3,343,Loyal Customers,0
3,478.53,255,15589,1,3,2,132,At Risk,1
1,388.58,46,15592,3,1,2,312,Lost,0
1,199.8,70,15593,3,1,1,311,Lost,0
5,1771.78,15,15594,4,4,4,444,Champions,0
5,1406.59,100,15596,2,4,4,244,At Risk,0
1,324.57,34,15597,3,1,2,312,Lost,0
1,240.68,52,15598,3,1,1,311,Lost,0
2,761.74,26,15599,4,3,3,433,Loyal Customers,0
14,6776.56,10,15601,5,5,5,555,Champions,7
9,1297.87,7,15602,5,5,4,554,Champions,7
1,48.48,78,15603,2,1,1,211,About to Sleep,0
1,216.39,51,15604,3,1,1,311,Lost,0
5,1198.23,35,15605,3,4,4,344,Loyal Customers,0
9,2920.16,60,15606,3,5,5,355,Loyal Customers,7
1,104.76,336,15607,1,1,1,111,About to Sleep,1
4,1093.68,27,15608,4,4,4,444,Champions,0
1,298.48,183,15609,1,1,2,112,About to Sleep,5
1,112.46,51,15610,3,1,1,311,Lost,0
13,1591.45,9,15611,5,5,4,554,Champions,7
2,195.15,35,15612,3,3,1,331,Loyal Customers,0
23,10399.74,9,15615,5,5,5,555,Champions,4
4,776.85,32,15618,3,4,3,343,Loyal Customers,0
1,336.4,10,15619,5,1,2,512,New Customers,0
3,1553.18,56,15620,3,3,4,334,Loyal Customers,0
4,1293.03,3,15621,5,4,4,544,Champions,0
9,3709.56,42,15622,3,5,5,355,Loyal Customers,7
1,301.03,140,15623,2,1,2,212,About to Sleep,5
4,588.13,116,15624,2,4,3,243,At Risk,5
4,1534.26,103,15625,2,4,4,244,At Risk,5
2,675.8,74,15626,2,3,3,233,At Risk,0
9,2870.24,4,15628,5,5,5,555,Champions,7
2,1186.35,44,15630,3,3,4,334,Loyal Customers,0
8,3285.31,15,15632,4,5,5,455,Champions,7
1,243.55,16,15634,4,1,1,411,New Customers,0
2,724.76,89,15636,2,3,3,233,At Risk,0
1,223.36,52,15637,3,1,1,311,Lost,0
1,425.32,133,15639,2,1,2,212,About to Sleep,5
15,12515.66,3,15640,5,5,5,555,Champions,7
4,1887.2,104,15641,2,4,4,244,At Risk,5
3,664.0,191,15643,1,3,3,133,At Risk,5
4,813.0,165,15644,2,4,3,243,At Risk,5
1,612.01,18,15645,4,1,3,413,New Customers,0
3,447.64,157,15646,2,3,2,232,At Risk,5
2,657.35,203,15648,1,3,3,133,At Risk,5
2,816.0,335,15649,1,3,3,133,At Risk,1
3,646.3,36,15651,3,3,3,333,Loyal Customers,0
1,337.74,90,15652,2,1,2,212,About to Sleep,0
2,877.44,92,15653,2,3,3,233,At Risk,0
2,922.53,8,15654,5,3,3,533,Loyal Customers,0
1,560.67,242,15655,1,1,3,113,About to Sleep,1
4,748.5,44,15656,3,4,3,343,Loyal Customers,0
1,30.0,22,15657,4,1,1,411,New Customers,0
5,1024.1,189,15658,1,4,4,144,At Risk,5
1,306.45,43,15659,3,1,2,312,Lost,0
9,1600.86,24,15660,4,5,4,454,Champions,7
2,309.8,316,15661,1,3,2,132,At Risk,1
1,138.14,105,15663,2,1,1,211,About to Sleep,5
1,386.43,50,15664,3,1,2,312,Lost,0
2,2242.01,167,15665,2,3,5,235,At Risk,5
1,301.32,39,15667,3,1,2,312,Lost,0
1,76.32,217,15668,1,1,1,111,About to Sleep,5
4,684.34,39,15669,3,4,3,343,Loyal Customers,0
1,173.05,296,15670,1,1,1,111,About to Sleep,1
7,2657.13,18,15671,4,5,5,455,Champions,7
4,2881.02,87,15673,2,4,5,245,At Risk,0
5,2446.6,72,15674,2,4,5,245,At Risk,0
3,323.69,80,15675,2,3,2,232,At Risk,0
3,3435.76,18,15676,4,3,5,435,Loyal Customers,0
1,657.23,48,15677,3,1,3,313,Promising,0
1,352.7,52,15678,3,1,2,312,Lost,0
4,781.28,23,15679,4,4,3,443,Loyal Customers,0
3,1333.68,8,15680,5,3,4,534,Loyal Customers,0
5,1426.16,24,15681,4,4,4,444,Champions,0
1,193.75,116,15683,2,1,1,211,About to Sleep,5
9,2993.1,8,15687,5,5,5,555,Champions,7
2,254.1,119,15689,2,3,2,232,At Risk,5
2,239.76,3,15690,5,3,1,531,Loyal Customers,0
1,136.8,251,15691,1,1,1,111,About to Sleep,1
1,191.04,27,15692,4,1,1,411,New Customers,0
14,6479.4,0,15694,5,5,5,555,Champions,7
2,409.98,266,15695,1,3,2,132,At Risk,1
8,2736.46,32,15696,3,5,5,355,Loyal Customers,7
1,309.65,17,15699,4,1,2,412,New Customers,0
2,696.68,171,15700,2,3,3,233,At Risk,5
4,1542.14,1,15701,5,4,4,544,Champions,0
1,211.5,264,15703,1,1,1,111,About to Sleep,1
4,2293.62,139,15704,2,4,5,245,At Risk,5
1,143.1,200,15705,1,1,1,111,About to Sleep,5
4,1060.56,63,15706,3,4,4,344,Loyal Customers,0
4,945.58,34,15707,3,4,4,344,Loyal Customers,0
7,3364.24,40,15708,3,5,5,355,Loyal Customers,7
1,133.25,283,15709,1,1,1,111,About to Sleep,1
5,1072.36,8,15712,5,4,4,544,Champions,0
2,356.7,142,15713,2,3,2,232,At Risk,5
2,330.88,11,15714,5,3,2,532,Loyal Customers,0
4,1118.81,145,15716,2,4,4,244,At Risk,5
1,150.3,233,15717,1,1,1,111,About to Sleep,1
13,5045.61,32,15719,3,5,5,355,Loyal Customers,7
1,598.73,23,15720,4,1,3,413,New Customers,0
1,507.08,11,15721,5,1,3,513,New Customers,0
5,2222.56,35,15722,3,4,5,345,Loyal Customers,0
1,203.1,364,15723,1,1,1,111,About to Sleep,1
2,218.25,200,15724,1,3,1,131,At Risk,5
1,415.25,14,15725,4,1,2,412,New Customers,0
7,5178.96,16,15727,4,5,5,455,Champions,7
1,85.0,212,15729,1,1,1,111,About to Sleep,5
3,1120.88,65,15730,3,3,4,334,Loyal Customers,0
2,294.12,211,15732,1,3,2,132,At Risk,5
1,162.3,282,15733,1,1,1,111,About to Sleep,1
2,1339.45,114,15734,2,3,4,234,At Risk,5
8,1205.12,14,15737,4,5,4,454,Champions,7
16,4812.42,18,15738,4,5,5,455,Champions,7
1,449.12,65,15739,3,1,2,312,Lost,0
1,154.88,48,15740,3,1,1,311,Lost,0
4,784.46,15,15743,4,4,3,443,Loyal Customers,0
1,34.8,77,15744,2,1,1,211,About to Sleep,0
4,1094.59,18,15745,4,4,4,444,Champions,0
1,196.88,133,15746,2,1,1,211,About to Sleep,5
3,974.04,12,15747,5,3,4,534,Loyal Customers,0
1,149.31,39,15748,3,1,1,311,Lost,0
3,44534.3,234,15749,1,3,5,135,At Risk,5
8,2465.48,2,15750,5,5,5,555,Champions,7
7,2637.38,39,15752,3,5,5,355,Loyal Customers,7
1,79.2,304,15753,1,1,1,111,About to Sleep,1
3,458.57,50,15754,3,3,2,332,Loyal Customers,0
6,2364.25,9,15755,5,5,5,555,Champions,0
4,532.96,60,15756,3,4,3,343,Loyal Customers,0
2,714.42,65,15757,3,3,3,333,Loyal Customers,0
1,205.25,24,15758,4,2,1,421,Potential Loyalists,0
3,253.04,217,15759,1,3,2,132,At Risk,5
2,583.75,64,15762,3,3,3,333,Loyal Customers,0
2,1086.92,31,15763,4,3,4,434,Loyal Customers,0
6,3279.97,87,15764,2,5,5,255,At Risk,0
1,315.06,63,15766,3,2,2,322,Lost,0
3,621.83,115,15768,2,4,3,243,At Risk,5
26,56252.72,6,15769,5,5,5,555,Champions,3
1,635.68,5,15773,5,2,3,523,Potential Loyalists,0
1,270.8,68,15774,3,2,2,322,Lost,0
1,104.9,244,15775,1,2,1,121,About to Sleep,1
1,241.62,132,15776,2,2,1,221,About to Sleep,5
4,1047.11,240,15777,1,4,4,144,At Risk,1
3,475.28,183,15780,1,4,2,142,At Risk,5
3,345.46,24,15781,4,4,2,442,Loyal Customers,0
3,2614.74,9,15782,5,4,5,545,Champions,0
1,246.3,10,15783,5,2,1,521,Potential Loyalists,0
5,2328.97,32,15785,3,4,5,345,Loyal Customers,0
3,4932.2,45,15786,3,4,5,345,Loyal Customers,0
3,948.05,25,15787,4,4,4,444,Champions,0
1,351.3,357,15789,1,2,2,122,About to Sleep,1
1,220.85,9,15790,5,2,1,521,Potential Loyalists,0
2,1612.69,43,15791,3,3,4,334,Loyal Customers,0
3,965.61,14,15793,4,4,4,444,Champions,0
1,610.01,149,15795,2,2,3,223,About to Sleep,5
8,2711.56,0,15796,5,5,5,555,Champions,7
4,2207.4,112,15797,2,4,5,245,At Risk,5
3,884.14,75,15799,2,4,3,243,At Risk,0
2,699.08,106,15800,2,3,3,233,At Risk,5
3,1063.95,45,15801,3,4,4,344,Loyal Customers,0
1,451.42,142,15802,2,2,2,222,About to Sleep,5
1,415.82,50,15803,3,2,2,322,Lost,0
13,4206.39,0,15804,5,5,5,555,Champions,7
17,5528.48,22,15805,4,5,5,455,Champions,7
3,784.58,45,15806,3,4,3,343,Loyal Customers,0
3,903.9,49,15807,3,4,3,343,Loyal Customers,0
4,3734.97,305,15808,1,4,5,145,At Risk,1
5,515.77,35,15809,3,4,3,343,Loyal Customers,0
4,1391.98,78,15810,2,4,4,244,At Risk,0
6,2218.62,21,15811,4,5,5,455,Champions,0
5,1801.14,106,15812,2,4,4,244,At Risk,5
2,1303.91,207,15813,1,3,4,134,At Risk,5
4,1945.33,16,15814,4,4,4,444,Champions,0
5,2100.6,63,15815,3,4,5,345,Loyal Customers,0
4,1905.45,48,15819,3,4,4,344,Loyal Customers,0
1,206.98,319,15820,1,2,1,121,About to Sleep,1
2,570.96,43,15821,3,3,3,333,Loyal Customers,0
2,885.47,2,15822,5,3,3,533,Loyal Customers,0
1,15.0,371,15823,1,2,1,121,About to Sleep,1
1,532.94,171,15825,2,2,3,223,About to Sleep,5
3,1654.31,55,15826,3,4,4,344,Loyal Customers,0
14,1836.09,72,15827,2,5,4,254,At Risk,7
2,636.14,98,15829,2,3,3,233,At Risk,5
1,576.0,37,15830,3,2,3,323,Promising,0
3,801.76,57,15831,3,4,3,343,Loyal Customers,0
1,836.79,253,15832,1,2,3,123,About to Sleep,1
4,2233.75,69,15834,3,4,5,345,Loyal Customers,0
4,954.09,43,15835,3,4,4,344,Loyal Customers,0
1,137.37,49,15836,3,2,1,321,Lost,0
1,391.98,64,15837,3,2,2,322,Lost,0
19,33643.08,10,15838,5,5,5,555,Champions,4
3,1048.49,32,15839,3,4,4,344,Loyal Customers,0
2,355.56,58,15840,3,3,2,332,Loyal Customers,0
4,1224.06,72,15841,2,4,4,244,At Risk,0
1,118.95,303,15843,1,2,1,121,About to Sleep,1
1,130.74,45,15844,3,2,1,321,Lost,0
8,3711.77,17,15845,4,5,5,455,Champions,7
2,389.27,37,15847,3,3,2,332,Loyal Customers,0
2,238.85,18,15850,4,3,1,431,Loyal Customers,0
2,160.71,186,15852,1,3,1,131,At Risk,5
1,110.8,51,15853,3,2,1,321,Lost,0
12,2974.65,3,15854,5,5,5,555,Champions,7
5,712.24,136,15855,2,4,3,243,At Risk,5
27,16387.57,3,15856,5,5,5,555,Champions,4
1,297.0,18,15857,4,2,2,422,Potential Loyalists,0
5,1438.85,15,15858,4,4,4,444,Champions,0
8,977.21,40,15860,3,5,4,354,Loyal Customers,7
8,3165.36,11,15861,5,5,5,555,Champions,7
4,832.88,7,15862,5,4,3,543,Loyal Customers,0
2,68.84,25,15863,4,3,1,431,Loyal Customers,0
6,1936.32,21,15864,4,5,4,454,Champions,0
3,895.13,40,15865,3,4,3,343,Loyal Customers,0
1,230.53,100,15866,2,2,1,221,About to Sleep,5
15,3812.64,4,15867,5,5,5,555,Champions,7
2,149.64,276,15869,1,3,1,131,At Risk,1
1,354.09,32,15870,3,2,2,322,Lost,0
2,360.93,14,15872,4,3,2,432,Loyal Customers,0
7,4405.88,63,15874,3,5,5,355,Loyal Customers,7
2,493.28,1,15877,5,3,3,533,Loyal Customers,0
1,343.28,368,15880,1,2,2,122,About to Sleep,1
5,501.39,311,15881,1,4,3,143,At Risk,1
4,516.36,198,15882,1,4,3,143,At Risk,5
2,396.48,1,15883,5,3,2,532,Loyal Customers,0
3,379.35,92,15885,2,4,2,242,At Risk,0
1,181.09,59,15886,3,2,1,321,Lost,0
1,168.31,80,15888,2,2,1,221,About to Sleep,0
2,446.87,156,15889,2,3,2,232,At Risk,5
1,524.52,226,15891,1,2,3,123,About to Sleep,1
2,263.55,252,15894,1,3,2,132,At Risk,1
1,179.17,149,15895,2,2,1,221,About to Sleep,5
2,222.05,193,15897,1,3,1,131,At Risk,5
5,1388.88,0,15898,5,4,4,544,Champions,0
1,56.25,368,15899,1,2,1,121,About to Sleep,1
1,351.11,23,15900,4,2,2,422,Potential Loyalists,0
3,363.88,16,15901,4,4,2,442,Loyal Customers,0
7,5126.76,9,15903,5,5,5,555,Champions,7
1,164.68,7,15904,5,2,1,521,Potential Loyalists,0
7,1567.69,19,15906,4,5,4,454,Champions,7
3,967.45,3,15907,5,4,4,544,Champions,0
1,191.94,173,15909,2,2,1,221,About to Sleep,5
8,1232.18,0,15910,5,5,4,554,Champions,7
2,264.62,177,15912,2,3,2,232,At Risk,5
8,1528.09,15,15916,4,5,4,454,Champions,7
1,123.1,247,15917,1,2,1,121,About to Sleep,1
2,334.23,190,15918,1,3,2,132,At Risk,5
2,639.89,19,15919,4,3,3,433,Loyal Customers,0
4,167.5,153,15920,2,4,1,241,At Risk,5
1,336.03,172,15921,2,2,2,222,About to Sleep,5
1,369.5,372,15922,1,2,2,122,About to Sleep,1
1,127.08,372,15923,1,2,1,121,About to Sleep,1
1,207.15,193,15925,1,2,1,121,About to Sleep,5
1,426.63,66,15930,3,2,2,322,Lost,0
8,2495.87,3,15932,5,5,5,555,Champions,7
3,1107.46,20,15933,4,4,4,444,Champions,0
2,416.86,238,15935,1,3,2,132,At Risk,1
1,145.35,63,15937,3,2,1,321,Lost,0
5,404.58,111,15938,2,4,2,242,At Risk,5
15,6115.01,89,15939,2,5,5,255,At Risk,7
1,35.8,310,15940,1,2,1,121,About to Sleep,1
1,337.44,133,15942,2,2,2,222,About to Sleep,5
1,325.1,276,15944,1,2,2,122,About to Sleep,1
1,181.0,364,15945,1,2,1,121,About to Sleep,1
1,1708.24,82,15947,2,2,4,224,About to Sleep,0
2,955.24,7,15948,5,3,4,534,Loyal Customers,0
2,364.72,16,15949,4,3,2,432,Loyal Customers,0
4,1765.51,31,15950,4,4,4,444,Champions,0
2,708.22,8,15951,5,3,3,533,Loyal Customers,0
4,806.57,33,15952,3,4,3,343,Loyal Customers,0
8,1659.38,14,15953,4,5,4,454,Champions,7
